url,name
/person/mlungisi-johnson/,Mlungisi Johnson
/person/mcebisi-jonas/,Mcebisi Jonas
/person/zelda-jongbloed/,Zelda Jongbloed
/person/bernard-daniel-joseph/,Bernard Daniel Joseph
/person/mziwamadoda-uppington-kalako/,Mziwamadoda Uppington Kalako
/person/santosh-vinita-kalyan/,Santosh Vinita Kalyan
/person/charles-danny-kekana/,Charles Danny Kekana
/person/maesela-david-kekana/,Maesela David Kekana
/person/ezekiel-kekana/,Ezekiel Kekana
/person/pinky-sharon-kekana/,Pinky Sharon Kekana
/person/hellen-boikhutso-kekana/,Hellen Boikhutso Kekana
/person/tandiwe-elizabeth-kenye/,Tandiwe Elizabeth Kenye
/person/makoti-sibongile-khawula/,Makoti Sibongile Khawula
/person/lefu-peter-khoarai/,Lefu Peter Khoarai
/person/dalton-hlamalani-khosa/,Dalton Hlamalani Khosa
/person/timothy-zanoxolo-matsebane-khoza/,Timothy Zanoxolo Matsebane Khoza
/person/makhosi-busisiwe-khoza/,Makhosi Busisiwe Khoza
/person/nicholous-pro-khoza/,Nicholous Pro Khoza
/person/nhlanhlakayise-moses-khubisa/,Nhlanhlakayise Moses Khubisa
/person/nthabiseng-pauline-khunou/,Nthabiseng Pauline Khunou
/person/juliana-danielle-kilian/,Juliana Danielle Kilian
/person/karen-de-kock/,Karen De Kock
/person/dianne-kohler-barnard/,Dianne Kohler Barnard
/person/gerhardus-willem-koornhof/,Gerhardus Willem Koornhof
/person/semakaleng-patricia-kopane/,Semakaleng Patricia Kopane
/person/zoliswa-albertina-kota-fredericks/,Zoe Kota-Fredericks
/person/gregory-rudy-krumbock/,Gregory Rudy Krumbock
/person/hendrik-christiaan-crafford-kruger/,Hendrik Christiaan Crafford Krüger
/person/mmamoloko-tryphosa-kubayi/,Mmamoloko Tryphosa Kubayi
/person/nqabayomzi-lawrence-kwankwa/,Nqabayomzi Lawrence Saziso Nkwankwa
/person/luwellyn-tyrone-landers/,Lluwelyn Landers
/person/robert-alfred-lees/,Robert Alfred Lees
/person/mosiuoa-gerard-patrick-lekota/,Mosiuoa Gerard Patrick Lekota
/person/regina-mina-mpontseng-lesoma/,Regina Mina Mpontseng Lesoma
/person/maseko-lindiwe/,Lindiwe Michelle Maseko
/person/khanyisile-litchfield-tshabalala/,Khanyisile Litchfield-Tshabalala
/person/fezeka-sister-loliwe/,Fezeka Sister Loliwe
/person/james-robert-bourne-lorimer/,James Robert Bourne Lorimer
/person/annelie-lotriet/,Annelie Lotriet
/person/elsabe-natasha-louw/,Elsabe Natasha Louw
/person/annette-theresa-lovemore/,Annette Theresa Lovemore
/person/zukile-luyenge/,Zukile Luyenge
/person/sahlulele-luzipo/,Sahlulele Luzipho
/person/jerome-joseph-maake/,Jerome Joseph Maake
/person/xitlhangoma-mabasa/,Xitlhangoma Mabasa
/person/bertha-peace-mabe/,Bertha Peace Mabe
/person/puleng-peter-mabe/,Puleng Peter Mabe
/person/livhuhani-mabija/,Livhuhani Mabija
/person/mandlenkosi-sicelo-mabika/,Mandlenkosi Sicelo Mabika
/person/solomon-patrick-mabilo/,Solomon Patrick Mabilo
/person/thizwilondi-rejoyce-mabudafhasi/,Rejoice Mabudafhasi
/person/gordon-mackay/,Gordon Mackay
/person/cameron-mackenzie/,Cameron Mackenzie
/person/dean-william-macpherson/,Dean William Macpherson
/person/andrew-frans-madella/,Andrew Frans Madella
/person/nomzamo-winfred-madikizela-mandela/,Nomzamo Winfred Madikizela-Mandela
/person/william-mothipa-madisha/,William Mothipa Madisha
/person/celiwe-qhamkile-madlopha/,Celiwe Qhamkile Madlopha
/person/patrick-maesela/,Patrick Maesela
/person/mapule-veronica-mafolo/,Mapule Veronica Mafolo
/person/nocawe-noncedo-mafu/,Nocawe Noncedo Mafu
/person/nosilivere-winnifred-magadla/,Nosilivere Winifred Magadla
/person/dikeledi-phillistus-magadzi/,Dikeledi Phillistus Magadzi
/person/gratitude-magwanishe/,Gratitude Magwanishe
/person/tandi-mahambehlala/,Tandi Mahambehlala
/person/amos-fish-mahlalela/,Amos Fish Mahlalela
/person/dikeledi-gladys-mahlangu/,Dikeledi Gladys Mahlangu
/person/jabulani-lukas-mahlangu/,Jabulani Lukas Mahlangu
/person/mbangiseni-david-mahlobo/,David Mahlobo
/person/moloko-stanford-armour-maila/,Moloko Stanford Armour Maila
/person/mmusi-aloysias-maimane/,Mmusi Aloysias Maimane
/person/richard-majola/,Thembekile Richard Majola
/person/fikile-zachariah-majola/,Fikile Zachariah Majola
/person/lusizo-sharon-makhubela-mashele/,Lusizo Sharon Makhubela-Mashele
/person/zondi-silence-makhubele/,Zondi Silence Makhubele
/person/thomas-makondo/,Thomas Makondo
/person/sampson-phathakge-makwetla/,Thabang Makwetla
/person/julius-sello-malema/,Julius Sello Malema
/person/hope-helene-malgas/,Hope Helene Malgas
/person/johanna-mmule-maluleke/,Johanna Mmule Maluleke
/person/kgwaridi-buti-manamela/,Buti Manamela
/person/mduduzi-comfort-manana/,Mduduzi Manana
/person/millicent-ntombizodwa-sibongile-manana/,Millicent Ntombizodwa Sibongile Manana
/person/duduzile-promise-manana/,Duduzile Promise Manana
/person/zwelivelile-mandlesizwe-dalibhunga-mandela/,Zwelivelile Mandlesizwe Dalibhunga Mandela
/person/priscilla-tozama-mantashe/,Priscilla Tozama Mantashe
/person/emmanuel-ramaotoana-kebby-maphatsoe/,Kebby Maphatsoe
/person/nosiviwe-noluthando-mapisa-nqakula/,Nosiviwe Mapisa-Nqakula
/person/mohlopi-phillemon-mapulane/,Mohlopi Phillemon Mapulane
/person/erik-johannes-marais/,Erik Johannes Marais
/person/sarel-jacobus-francois-marais/,Sarel Jacobus Francois Marais
/person/nomsa-innocencia-tarabella-marchesi/,Nomsa Innocencia Tarabella Marchesi
/person/benedict-anthony-duke-martins/,Benedict Anthony Duke Martins
/person/s-j-masango/,Suhla James Masango
/person/moses-siphosezwe-amos-masango/,Moses Siphosezwe Amos Masango
/person/elizabeth-koena-mmanoko-masehela/,Elizabeth Koena Mmanoko Masehela
/person/ngwanamakwetle-reneiloe-mashabela/,Ngwanamakwetle Reneiloe Mashabela
/person/shipokasa-paulus-mashatile/,Shipokosa Paulus Mashatile
/person/kwati-candith-mashego-dlamini/,Candith Mashego-Dlamini
/person/buoang-lemias-mashile/,Buoang Lemias Mashile
/person/mzwandile-collen-masina/,Mzwandile Masina
/person/nkosiyakhe-amos-masondo/,Nkosiyakhe Amos Masondo
/person/madala-backson-masuku/,Madala Masuku
/person/tshililo-michael-masutha/,Michael Masutha
/person/cassel-charlie-mathale/,Cassel Charlie Mathale
/person/dudu-hellen-mathebe/,Dudu Hellen Mathebe
/person/nthako-sam-matiase/,Nthako Sam Matiase
/person/motswaledi-hezekiel-matlala/,Motswaledi Hezekiel Matlala
/person/abinaar-modikela-matlhoko/,Abinaar Modikela Matlhoko
/person/choloane-david-matsepe/,Choloane David Matsepe
/person/mandisa-octovia-matshoba/,Mandisa Octovia Matshoba
/person/asanda-matshobeni/,Asanda Matshobeni
/person/cathrine-matsimbi/,Cathrine Matsimbi
/person/risimati-thompson-mavunda/,Risimati Thompson Mavunda
/person/humphrey-maxegwana/,Comely Humphrey Maqocwa Maxegwana
/person/hlengiwe-octavia-maxon/,Hlengiwe Octavia Maxon
/person/david-john-maynier/,David John Maynier
/person/fikile-april-mbalula/,Fikile Mbalula
/person/moses-sipho-mbatha/,Moses Sipho Mbatha
/person/baleka-mbete/,Baleka Mbete
/person/zakhele-njabulo-mbhele/,Zakhele Njabulo Mbhele
/person/sibongile-mchunu/,Sibongile Mchunu
/person/alan-ross-mcloughlin/,Alan Ross Mcloughlin
/person/nomakhaya-mavis-mdaka/,Nomakhaya Mavis Mdaka
/person/mzameni-richard-mdakane/,Mzameni Richard Mdakane
/person/thandi-cecilia-memela/,Thandi Cecilia Memela
/person/liezl-linda-van-der-merwe/,Liezl Linda van der Merwe
/person/kenneth-raselabe-joseph-meshoe/,Kenneth Raselabe Joseph Meshoe
/person/nomaindiya-cathleen-mfeketho/,Noma-India Mfeketho
/person/tsepo-winston-mhlongo/,Tsepo Winston Mhlongo
/person/natasha-wendy-anita-michael/,Natasha Wendy Anita Michael
/person/kevin-john-mileham/,Kevin John Mileham
/person/lindiwe-ntombikayise-mjobo/,Lindiwe Ntombikayise Mjobo
/person/hlengiwe-buhle-mkhize/,Hlengiwe Mkhize
/person/bongani-michael-mkongi/,Bongani Michael Mkongi
/person/humphrey-mmemezi/,Humphrey Mdumzeli Zondelele Mmemezi
/person/martha-phindile-mmola/,Martha Phindile Mmola
/person/samuel-gaaesi-mmusi/,Samuel Gaaesi Mmusi
/person/sibusiso-christopher-mncwabe/,Sibusiso Christopher Mncwabe
/person/mangaqa-albert-mncwango/,Mangaqa Albert Mncwango
/person/phumzile-justice-mnguni/,Pumzile Justice Mnguni
/person/derick-mnguni/,Derick Mnguni
/person/john-andile-mngxitam/,John Andile Mngxitama
/person/nokhaya-adelaide-mnisi/,Nokhaya Adelaide Mnisi
/person/velhelmina-pulani-mogotsi/,Velhelmina Pulani Mogotsi
/person/stevens-mokgalapa/,Stevens Mokgalapa
/person/nthibane-rebecca-mokoto/,Nthibane Rebecca Mokoto
/person/maapi-angelina-molebatsi/,Maapi Angelina Molebatsi
/person/bomo-edna-edith-molewa/,Edna Molewa
/person/joyce-clementine-moloi-moropa/,Joyce Clementine Moloi-Moropa
/person/magdalene-moonsamy/,Magdalene Moonsamy
/person/kgotso-zachariah-morapela/,Kgotso Zachariah Morapela
